Name,SKU,"Origen price",Transporte,"Cost price","Minimum price","Regular price","Beneficio web","Beneficio glovo",Type,Published,"Visibility in catalog",Description,"Meta title","Meta description",Categories,Supercategories,Images,Stock,Gtin,Collection,"Variant attribute 1",Color,Marca,"Item size","Publico objetivo",Funciones,Proveedor,Condicion,"Informacion adicional"
"Rocío - Mini succionador (11)",11,"€8,90","39,00%","€12,37","€37,11","€39,99","223,26%","106,24%",simple,1,visible,"Suave al tacto, atrevido en intención. Un cómplice silencioso que no pide permiso ni da explicaciones. Solo pulsa y déjate llevar.","Succionador compacto curvo: boquilla suave precisa","Succionador compacto y curvo con diseño ergonómico. Estimula el clítoris con precisión gracias a su boquilla suave. Ideal para llevar siempre.","Para Ella>Succionadores,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/11-Rocio-Mini-Succionador_22.webp,1,AS-AV039,Succionadores,Color,Morado,Ignislove,,Mujer,Succión,China,Nuevo,
"Under arrest bodystocking black (12)",12,"€5,92","0,00%","€5,92","€17,76","€19,99","237,67%","115,43%",simple,1,visible,"Body de red ajustado con aberturas estratégicas. Diseño provocador con tirantes finos y transparencias que realzan la figura. Talla única.","Body red ajustado: aberturas estratégicas y provocador","Body de red ajustado con aberturas estratégicas. Diseño provocador con tirantes finos y transparencias que realzan la figura. Talla única.","Lencería>Penthouse,Para Ella>Lencería,Para Ella",Lenceria,https://ignislove.com/wp-content/uploads/2025/04/12-Under-arrest-bodystocking-black_23_11zon.webp,1,EX17716,Lencería,Color,Negro,Ignislove,,Mujer,,Excitasy,Nuevo,"Bodystocking de malla con patrón cruzado transparente y abertura en el entrepierna.

Cómo limpiar:
Lavado a mano. No usa blanqueador. No planchar. No lavar en seco.

Material:
88% Nailón, 12% Elastano."
"Lacrimosa - Mano 21cm ideal para Fisting (13)",13,"€3,50","0,00%","€3,50","€10,50","€44,99","1185,43%","720,10%",simple,1,visible,"Dildo en forma de manos juntas. Ideal para prácticas de fisting. Silicona firme, base con ventosa y acabado brillante. Solo para valientes.","Dildo manos juntas: silicona firme y ventosa fisting","Dildo en forma de manos juntas. Ideal para prácticas de fisting. Silicona firme, base con ventosa y acabado brillante. Solo para valientes.","Para Ella>Dildos, Sexo Anal>Anal toys,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/13-Lacrimosa-Mano-21-cm-ideal-para-fisting_24_11zon.webp,1,AS-DM025,Dildos,Color,Negro,Ignislove,21,"Mujer, Hombre",,China,Nuevo,
"Burak - Dildo 24cm (14)",14,"€7,33","0,00%","€7,33","€21,99","€44,43","506,14%","286,72%",simple,1,visible,"Dildo realista de gran tamaño con venas marcadas y testículos. Fabricado en TPR suave. Incluye ventosa para juegos sin manos.","Dildo realista XL TPR con venas y ventosa firme","Dildo realista de gran tamaño con venas marcadas y testículos. Fabricado en TPR suave. Incluye ventosa para juegos sin manos.","Para Ella>Dildos, Sexo Anal>Anal toys,Pareja>Pareja toys,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/14-Burak-Dildo-24cm_32_11zon.webp,1,D-233026,Dildos,Color,Piel,Ignislove,24,Mujer,,"Dream love",Nuevo,"Disfruta con un consolador realista cuando quieras.

Está hecho de material TPR de alta calidad que imita a la perfección la piel humana.

Su exterior es suave y delicado, se adaptará perfectamente al interior de tu vagina.

Tiene una fuerte base de vacío, puedes pegarlo en cualquier superficie lisa y disfrutarlo sin usar las manos.

La longitud total del dildo es de 24 cm, la parte que se penetra tiene 20 cm de largo, mientras que el diámetro del dildo es de 5 cm.

También tiene vibración, puedes controlar la fuerza de la vibración usando el potenciómetro conectado al dildo por un cable.

Funciona con 2 pilas AA.

Para facilitar la penetración y hacer aún más placentera la estimulación, utilice uno de los lubricantes a base de agua."
"Dildo Doble 44,5 cm (15)",15,"€4,78","0,00%","€4,78","€14,34","€39,99","736,61%","433,76%",simple,1,visible,"Doble penetración con este dildo flexible y texturizado. Dos extremos con forma realista para compartir o disfrutar en solitario.","Dildo doble penetración flexible y texturizado","Doble penetración con este dildo flexible y texturizado. Dos extremos con forma realista para compartir o disfrutar en solitario.","Para Ella>Dildos,Sexo Anal>Anal toys,Pareja>Pareja toys,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/15-Dildo-Doble-445-Cm._33_11zon.webp,1,D-205160,Dildos,Color,Rosa,Ignislove,"44,5",Mujer,,"Dream love",Nuevo,"Es un pene con dos cabezas fabricado de gelatina muy flexible. Simula perfectamente los atributos masculino dandoles un tacto suave.

Puede ser utilizado por cualquiera de sus dos extremos, dependiendo de las diferentes necesidades.

Ideal para penetraciones vaginales y anales a la vez si alguna vez soñastes con saber que se sentia siendo penetrada por tus dos orificios amorosos, este es el juguete perfecto para cumplir tus fantasias.

Doble Penetración, Doble Sensación!!
Medidas; 44.5 de largo x 3.5 cm de ancho."
"Jelly - Dildo 18 cm (16)",16,"€3,30","0,00%","€3,30","€9,90","€41,16","1147,27%","695,76%",simple,1,visible,"Dildo translúcido con ventosa. Textura lisa, forma realista y tamaño medio. Ideal para uso diario, tanto vaginal como anal.","Dildo translúcido con ventosa: realista y diario","Dildo translúcido con ventosa. Textura lisa, forma realista y tamaño medio. Ideal para uso diario, tanto vaginal como anal.","Para Ella>Dildos,Sexo Anal>Anal toys,Pareja>Pareja toys,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/16-Jelly-Dildo-18-cm_34_11zon.webp,1,,Dildos,Color,Transparente,Ignislove,18,Mujer,,,Nuevo,
"Fantasy - Dildo 25cm ideal para fisting (17)",17,"€7,90","39,00%","€10,98","€32,94","€68,74","525,99%","299,38%",simple,1,visible,"Gran dildo con diseño rugoso y cuerpo grueso. Perfecto para quienes disfrutan del fisting o buscan una estimulación muy intensa.","Dildo grueso rugoso: fisting e intensa estimulación","Gran dildo con diseño rugoso y cuerpo grueso. Perfecto para quienes disfrutan del fisting o buscan una estimulación muy intensa.","Para Ella>Dildos,Sexo Anal>Anal toys,Pareja>Pareja toys,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/17-Fantasy-Dildo-25cm-ideal-para-fisting_35_11zon.webp,1,,Dildos,Color,Rosa,Ignislove,25,Mujer,,China,Nuevo,
"Muñeco Hombre - Masturbador realista 5kg (18)",18,"€29,50","39,00%","€41,01","€123,02","€199,99","387,72%","211,17%",simple,1,visible,"Torso masculino con pene y glúteos definidos. Material hiperrealista. Ideal para fantasías con chicos musculosos. Peso: 5 kg.","Torso masculino hiperrealista: pene y glúteos 5 kg","Torso masculino con pene y glúteos definidos. Material hiperrealista. Ideal para fantasías con chicos musculosos. Peso: 5 kg.","Para Ella>Dildos,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/18-Muneco-Hombre-Masturbador-realista-5kg_53.webp,1,AS-MC058,Dildos,Color,Piel,Ignislove,,"Mujer, Hombre",,China,Nuevo,
"Dildo XXL de 26 cm realista Bergrisi ideal para fisting (19)",19,"€7,74","0,00%","€7,74","€23,22","€49,99","545,87%","312,06%",simple,1,visible,"Dildo grande, firme y con venas marcadas. Pensado para quienes buscan una experiencia extrema. Base de ventosa. Acabado realista.","Dildo grande firme venoso: intensa experiencia fisting","Dildo grande, firme y con venas marcadas. Pensado para quienes buscan una experiencia extrema. Base de ventosa. Acabado realista.","Para Ella>Dildos,Sexo Anal>Anal toys,Pareja>Pareja toys,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/19-Dildo-XXL-26-cm-Bergrisi-ideal-para-fisting-_54_11zon.webp,1,D-234966,Dildos,Color,Piel,Ignislove,26,"Hombre, Mujer",,"Dream love",Nuevo,"Nuevo consolador enorme realista. ¡Perfecto para una satisfacción verdaderamente gigantesca! Consolador del color de la piel en forma de pene realista. El consolador tiene un glande abultado, venas en el eje y testículos suaves. La ventosa adicional hace posible la diversión con las manos libres. Con una longitud total insertable y una circunferencia de pulgadas considerables, el consolador seguramente satisfará.

Función: base de succión
Impermeable: Sí
Material: TPR
Color: 1002S color carne
Tamaño del embalaje mm: 270*110*80"
"Super Strong - Dildo 20,5cm (20)",20,,"39,00%","€0,00","€0,00","€39,99",#DIV/0!,#DIV/0!,simple,1,visible,"Dildo firme y potente con forma anatómica. Silicona segura, textura detallada y ventosa para un uso versátil en cualquier superficie.","Dildo anatómico firme en silicona TPR con ventosa","Dildo firme y potente con forma anatómica. Silicona segura, textura detallada y ventosa para un uso versátil en cualquier superficie.","Para Ella>Dildos,Sexo Anal>Anal toys,Pareja>Pareja toys,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/20-Super-Strong-Dildo-205cm_55_11zon.webp,1,,Dildos,Color,Moreno,Ignislove,"20,5",Mujer,,,Nuevo,
"Rèquiem - Mano 40 cm ideal para fisting (21)",21,"€5,50","0,00%","€5,50","€16,50","€84,99","1445,27%","885,88%",simple,1,visible,"Mano extra larga de 40 cm para fisting extremo. Silicona firme, forma anatómica y gran realismo. Solo para los más atrevidos.","Mano fisting 40 cm: extremo, firme y realista","Mano extra larga de 40 cm para fisting extremo. Silicona firme, forma anatómica y gran realismo. Solo para los más atrevidos.","Para Ella>Dildos,Sexo Anal>Anal toys,Pareja>Pareja toys,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/21-Requiem-Mano-de-40-cm-ideal-para-fisting_56_11zon.webp,1,AS-DM034,Dildos,Color,Negro,Ignislove,40,"Mujer, Hombre",,China,Nuevo,
"Ogombo - Dildo 30cm ideal para fisting (22)",22,"€5,20","39,00%","€7,23","€21,68","€74,99","937,49%","561,92%",simple,1,visible,"Dildo XXL de 30 cm en color negro, con textura rugosa y base de ventosa. Ideal para quienes buscan sensaciones extremas.","Dildo XXL 30 cm negro: ventosa y textura rugosa","Dildo XXL de 30 cm en color negro, con textura rugosa y base de ventosa. Ideal para quienes buscan sensaciones extremas.","Para Ella>Dildos,Sexo Anal>Anal toys,Pareja>Pareja toys,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/22-Ogombo-Dildo-30-cm-ideal-para-fisting_57_11zon.webp,1,AS-DM029,Dildos,Color,Negro,Ignislove,30,"Mujer, Hombre",,China,Nuevo,
"All black - Dildo 20 cm ideal para fisting (23)",23,"€8,43","0,00%","€8,43","€25,29","€43,69","418,27%","230,66%",simple,1,visible,"Corto, grueso y contundente. Dildo All Black para fisting o dilatación intensa. Con diseño robusto y detalle anatómico.","Dildo All Black grueso y contundente para fisting","Corto, grueso y contundente. Dildo All Black para fisting o dilatación intensa. Con diseño robusto y detalle anatómico.","Para Ella>Dildos,Sexo Anal>Anal toys,Pareja>Pareja toys,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/23-ALL-BLACK-DILDO-FISTING-20-CM_58_11zon.webp,1,D-197909,Dildos,Color,Negro,Ignislove,20,Mujer,,"Dream love",Nuevo,"¡Este consolador All Black con estructura y eje realistas es perfecto para todos!

Las pelotas y la forma realista son perfectos para una aventura emocionante ya sea que estés buscando un consolador para jugar contigo mismo o con tu pareja. Los lubricantes basados tanto en agua como en silicona se pueden usar aquí.

Es importante limpiar el dildo completamente después de su uso. Cada juguete se envuelve individualmente con una funda protectora de plástico transparente.

Medidas;  20 cm de alto x 4.5 cm de ancho en la base.
Longitud insertable: 16 cm.
Serie de sextoys ALL BLACK.
¡Descubre nuevas experiencias!!

* Para conseguir una experiencia óptima y poder disfrutar de manera placentera y sin dolor, ALL BLACK recomienda el uso de los lubricantes de la marca Black Hole"
"Multi lesbian - Dildo Doble 55cm (24)",24,"€5,20","39,00%","€7,23","€21,68","€62,49","764,55%","451,59%",simple,1,visible,"Dildo doble extra largo de 55 cm. Muy flexible y con cabezas realistas en ambos extremos. Perfecto para jugar en pareja o a solas.","Dildo doble 55 cm flexible con cabezas realistas","Dildo doble extra largo de 55 cm. Muy flexible y con cabezas realistas en ambos extremos. Perfecto para jugar en pareja o a solas.","Para Ella>Vibradores,Pareja>Pareja toys,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/24-Multi-Lesbian-Dildo-Doble-55cm_59_11zon.webp,1,AS-DM036,Dildos,Color,Piel,Ignislove,55,Mujer,,China,Nuevo,
"Dong 18 cm negro (25)",25,"€5,59","0,00%","€5,59","€16,77","€34,99","525,94%","299,35%",simple,1,visible,"Dildo negro de 18 cm con forma tradicional. Textura definida y base de ventosa. Ideal para sesiones intensas.","Dildo negro 18 cm ventosa: intenso y versátil","Dildo negro de 18 cm con forma tradicional. Textura definida y base de ventosa. Ideal para sesiones intensas.","Para Ella>Dildos,Sexo Anal>Anal toys,Pareja>Pareja toys,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/25-DONG-18-CM-NEGRO_60_11zon.webp,1,,Dildos,Color,Negro,Ignislove,18,Mujer,,,Nuevo,
"Suit Lesbian - Dildo Doble Vibrador 42cm (26)",26,"€15,50","39,00%","€21,55","€64,64","€69,99","224,85%","107,26%",simple,1,visible,"Dildo doble flexible con dos cabezas y motor vibrador interno. 42 cm para penetración compartida o uso creativo.","Dildo doble 42 cm vibrador flexible con cabezas","Dildo doble flexible con dos cabezas y motor vibrador interno. 42 cm para penetración compartida o uso creativo.","Para Ella>Dildos,Sexo Anal>Anal toys,Pareja>Pareja toys,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/26-Suit-Lesbian-Dildo-Doble-Vibrador-42cm_61_11zon.webp,1,AS-DM036,Dildos,Color,Rosa,Ignislove,55,Mujer,Vibración,China,Nuevo,
"Dong 20,5 cm (27)",27,"€6,70","0,00%","€6,70","€20,10","€39,99","496,87%","280,80%",simple,1,visible,"Dildo firme de silicona negra con detalles realistas. Ventosa para usar sin manos. Ideal para uso diario con intensidad.","Dildo firme negro con ventosa: uso diario intenso","Dildo firme de silicona negra con detalles realistas. Ventosa para usar sin manos. Ideal para uso diario con intensidad.","Para Ella>Dildos,Sexo Anal>Anal toys,Pareja>Pareja toys,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/27-DONG-205-CM-NEGRO_62_11zon.webp,1,,Dildos,Color,Negro,Ignislove,18,Mujer,,,Nuevo,
"Dick - Dildo 20cm (28)",28,,,"€0,00","€0,00","€34,99",#DIV/0!,#DIV/0!,simple,1,visible,"Dildo clásico con glande marcado y base plana. Silicona suave, diseño realista y tamaño intermedio para todo tipo de usuarios.","Dildo clásico silicona suave: glande marcado base plana","Dildo clásico con glande marcado y base plana. Silicona suave, diseño realista y tamaño intermedio para todo tipo de usuarios.","Para Ella>Dildos,Sexo Anal>Anal toys,Pareja>Pareja toys,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/28-Dick-Dildo-20cm_63_11zon.webp,1,,Dildos,Color,Moreno,Ignislove,42,Mujer,,,Nuevo,
"Catoblepas - Dildo 20,6cm (29)",29,"€5,63","0,00%","€5,63","€16,89","€34,99","521,49%","296,51%",simple,1,visible,"Dildo de TPR muy suave con textura realista. Venas marcadas, testículos definidos y base de ventosa. Tacto muy natural.","Dildo TPR suave con venas, testículos y ventosa","Dildo de TPR muy suave con textura realista. Venas marcadas, testículos definidos y base de ventosa. Tacto muy natural.","Para Ella>Dildos,Sexo Anal>Anal toys,Pareja>Pareja toys,Para Ella","Para ella",https://ignislove.com/wp-content/uploads/2025/04/29-Catoblepas-Dildo-206cm_64_11zon.webp,1,D-233020,Dildos,Color,Piel,Ignislove,"20,6",Mujer,,"Dream love",Nuevo,"Nuestra gama de consoladores realistas ha sido diseñada para brindarte una experiencia realista inolvidable que es casi tan buena como la real. Este dildo es de gran tamaño y carnoso y cuenta con 14 cm de profundidad insertable. Cuenta con una ventosa en la base diseñada para brindarte toda la estabilidad y penetración que deseas.

Características:

Diseño realista
Con testículos
Texturizado
Con ventosa en la base
Medidas totales: 20.6 cm x 4.4 cm
Longitud insertable: 14 cm"
